Código IBGE;Municí­pios;Microregião;Estado;Região Geográfica;Área km²;População;Domicílios;PIB Total (R$ mil);IDH - Índice de Desenv. Humano;Renda Média;Renda Nominal;PEA Dia;IDH - Dimensção Educação;IDH - Dimensção Longevidade;Atualização
5213087;Minaçu;Porangatu;GO;Centro-Oeste;2860,73;28793;9399;1034924,68;0,71;2983,95;28048930,73;12190;0,64;0,80
5213103;Mineiros;Sudoeste de Goiás;GO;Centro-Oeste;9060,10;68154;21401;2567590,55;0,72;4245,28;90853809,95;44007;0,58;0,84
5213400;Moiporá;Iporá;GO;Centro-Oeste;460,62;1501;564;34914,80;0,70;2602,41;1470120,18;1043;0,63;0,82
5213509;Monte Alegre de Goiás;Chapada dos Veadeiros;GO;Centro-Oeste;3119,80;8684;2550;82243,42;0,62;2043,47;5211448,91;3082;0,48;0,82
5213707;Montes Claros de Goiás;Aragarças;GO;Centro-Oeste;2899,18;8047;2881;293741,29;0,71;3229,17;9303393,65;5001;0,62;0,81
5213756;Montividiu;Sudoeste de Goiás;GO;Centro-Oeste;1874,15;13672;4433;780259,15;0,73;4160,03;18442933,83;7247;0,64;0,83
5213772;Montividiu do Norte;Porangatu;GO;Centro-Oeste;1332,99;4509;1412;69768,73;0,61;1841,78;2602086,44;1836;0,49;0,82
5213806;Morrinhos;Meia Ponte;GO;Centro-Oeste;2846,20;46548;16673;1370454,99;0,73;3802,31;63396831,32;29178;0,62;0,86
5213855;Morro Agudo de Goiás;Ceres;GO;Centro-Oeste;282,62;2232;817;38965,22;0,70;2578,10;2107243,68;1966;0,63;0,83
5213905;Mossâmedes;Anicuns;GO;Centro-Oeste;684,45;4206;1538;78295,00;0,71;2907,07;4473655,10;2791;0,62;0,81
5214002;Mozarlândia;São Miguel do Araguaia;GO;Centro-Oeste;1734,36;15870;5312;528865,18;0,68;3379,89;17955835,32;10851;0,57;0,83
5214051;Mundo Novo;São Miguel do Araguaia;GO;Centro-Oeste;2146,65;4713;1654;96767,61;0,63;2563,79;4241101,61;2686;0,49;0,81
5214101;Mutunópolis;Porangatu;GO;Centro-Oeste;955,87;3764;1337;61205,39;0,68;2574,04;3442796,73;1491;0,58;0,81
5214408;Nazário;Anicuns;GO;Centro-Oeste;269,10;9260;3333;177123,79;0,71;3234,06;10780620,29;4918;0,63;0,81
5214507;Nerópolis;Goiânia;GO;Centro-Oeste;204,22;30395;9667;729808,92;0,72;3453,13;33383088,38;19556;0,67;0,82
5214606;Niquelândia;Porangatu;GO;Centro-Oeste;9843,24;46730;14935;1106850,12;0,72;3398,12;50753655,75;21666;0,64;0,81
5214705;Nova América;Ceres;GO;Centro-Oeste;212,03;2357;843;37488,95;0,68;2772,77;2339110,21;960;0,60;0,80
5214804;Nova Aurora;Catalão;GO;Centro-Oeste;302,66;2222;824;49202,34;0,75;3347,46;2758457,65;961;0,70;0,85
5214838;Nova Crixás;São Miguel do Araguaia;GO;Centro-Oeste;7298,78;12945;4454;356302,68;0,64;2918,91;13002223,38;7431;0,49;0,81
5214861;Nova Glória;Ceres;GO;Centro-Oeste;412,95;8112;2950;117706,07;0,68;2502,64;7383486,49;3656;0,59;0,82
5214879;Nova Iguaçu de Goiás;Porangatu;GO;Centro-Oeste;628,44;2934;1008;41120,58;0,66;2678,69;2701165,75;1031;0,54;0,81
5214903;Nova Roma;Chapada dos Veadeiros;GO;Centro-Oeste;2135,96;3236;1095;45009,83;0,63;2000,42;2190811,17;1471;0,53;0,81
